# 전체 on-CPU inclusive 함수 표 — 1840개 (컷오프 없음)
# denom = total_samples = 147236

  %total   samples  func
   0.035        51  prm_get_integer_value
   0.035        51  pgbuf_is_temporary_volume
   0.034        50  mvcctable::compute_oldest_visible_mvccid
   0.034        50  lock_escalate_if_needed
   0.034        50  mht_rem2
   0.033        49  cubconn::connection::worker::get_time_ns@plt
   0.033        49  lf_hash_delete_internal
   0.033        49  cubthread::worker_pool::core::get_entry_manager
   0.033        49  pgbuf_get_holder
   0.033        49  heap_insert_adjust_recdes_header
   0.033        48  tp_domain_resolve_default
   0.033        48  LOG_PRIOR_LSA_LAST_APPEND_OFFSET@plt
   0.033        48  heap_hash_hfid
   0.033        48  mr_data_readval_int
   0.033        48  pgbuf_bcb_update_flags
   0.031        46  spage_insert_at@plt
   0.031        46  log_tdes::is_system_transaction@plt
   0.031        46  or_unpack_int
   0.031        46  __bswap_32
   0.031        46  btree_rv_log_insert_object
   0.031        45  vacuum_data::update
   0.031        45  er_is_initialized@plt
   0.031        45  heap_hfid_table_entry_key_hash
   0.031        45  btree_find_oid_and_its_page
   0.030        44  log_check_ha_delay_info_execute
   0.030        44  tsc_getticks@plt
   0.030        44  log_zip_realloc_if_needed
   0.030        44  cuberr::context::get_thread_local_error
   0.030        44  pgbuf_is_temp_lsa
   0.029        43  or_mvcc_get_repid_and_flags@plt
   0.029        43  std::_Function_handler<void (), css_send_reply_and_2_data_to_client(css_conn_entry*, unsigned int, char*, int, char*, int, char*, int, std::function<void ()>&&)::{lambda()#1}>::_M_invoke
   0.029        43  pgbuf_ordered_fix_release@plt
   0.029        42  catcls_get_apply_info_log_record_time
   0.029        42  __lll_unlock_wake_private
   0.029        42  LZ4_compress_fast_extState@plt
   0.029        42  prior_lsa_alloc_and_copy_crumbs@plt
   0.028        41  dwb_flush_next_block
   0.028        41  spage_find_free_slot
   0.028        41  xdisk_get_purpose@plt
   0.028        41  cubbase::DMRBMemoryPool::restore@plt
   0.028        41  or_class_name@plt
   0.027        40  std::_Rb_tree_insert_and_rebalance@plt
   0.027        40  pgbuf_get_tde_algorithm@plt
   0.027        40  log_tdes::is_system_transaction
   0.026        39  read@plt
   0.026        39  heap_classrepr_get@plt
   0.026        39  cuberr::context::clear_current_error_level
   0.026        39  lf_tran_start@plt
   0.026        39  heap_hfid_table_entry_key_compare
   0.026        39  pgbuf_set_bcb_page_vpid
   0.026        38  logtb_is_active
   0.026        38  cubthread::worker_pool::core::free_all_temp_list
   0.026        38  tsc_elapsed_time_usec@plt
   0.026        38  btree_set_mvcc_header_ids_for_update
   0.026        38  or_chn
   0.026        38  or_get_data
   0.026        38  LZ4_initStream@plt
   0.026        38  thread_lock_entry
   0.025        37  LZ4_compressBound
   0.025        37  locator_send_copy_area
   0.025        37  or_mvcc_get_repid_and_flags
   0.025        37  mht_rehash
   0.025        37  vacuum_heap_record_insid_and_prev_version
   0.024        36  slocator_find_lockhint_class_oids
   0.024        36  disk_reserve_sectors
   0.024        36  btree_unique_stats::get_row_count@plt
   0.024        36  logtb_tran_btid_hash_cmp_func
   0.024        36  log_tdes::is_active_worker_transaction@plt
   0.024        36  heap_scancache_start_internal
   0.024        36  spage_get_space_for_record
   0.024        35  pgbuf_adjust_quotas
   0.024        35  cuberr::er_message::clear_error@plt
   0.024        35  cubthread::worker_pool::core::worker::retire_current_task
   0.024        35  hl_lea_free
   0.024        35  btree_insert@plt
   0.024        35  pgbuf_set_dirty@plt
   0.024        35  get_impl
   0.024        35  heap_compare_hfid
   0.024        35  mr_initval_int
   0.024        35  std::_Rb_tree_insert_and_rebalance
   0.024        35  logtb_get_current_mvccid@plt
   0.024        35  css_add_list
   0.023        34  pgbuf_page_maintenance_execute
   0.023        34  cubthread::daemon::pause@plt
   0.023        34  cubthread::looper::put_to_sleep@plt
   0.023        34  std::_Rb_tree_increment
