# 전체 on-CPU inclusive 함수 표 — 1615개 (컷오프 없음)
# denom = total_samples = 126337

  %total   samples  func
   0.032        40  logpb_end_append
   0.032        40  tp_domain_cache@plt
   0.032        40  heap_classrepr_get@plt
   0.032        40  log_append_undoredo_recdes2@plt
   0.031        39  LSA_ISNULL
   0.031        39  or_class_name@plt
   0.030        38  vacuum_data::update
   0.030        38  tsc_getticks@plt
   0.030        38  css_find_queue_entry
   0.030        38  pgbuf_unfix@plt
   0.029        37  sys_alloc
   0.029        37  pgbuf_ordered_fix_release@plt
   0.029        37  pgbuf_get_holder
   0.028        36  db_mktime
   0.028        36  LZ4_initStream@plt
   0.028        36  pgbuf_add_watch_instance_internal
   0.028        36  or_get_short
   0.028        35  __pthread_mutex_cond_lock
   0.028        35  heap_scancache::start_area
   0.028        35  lock_conv
   0.027        34  or_rep_id@plt
   0.027        34  heap_scancache_start_internal
   0.027        34  pgbuf_lru_advance_victim_hint
   0.027        34  cubbase::DMRBMemoryPool::restore@plt
   0.027        34  vacuum_heap_record_insid_and_prev_version
   0.026        33  pgbuf_page_maintenance_execute
   0.026        33  pr_clear_value@plt
   0.026        33  qexec_intprt_fnc
   0.026        33  std::vector<cubbase::span<std::byte>, std::allocator<cubbase::span<std::byte> > >::_M_realloc_insert<std::byte*, unsigned long>
   0.026        33  spage_is_updatable@plt
   0.026        33  rmutex_unlock@plt
   0.026        33  LZ4_compress_fast_extState@plt
   0.026        33  check_supplemental_log
   0.026        33  mr_data_readval_int
   0.026        33  __lll_lock_wait_private
   0.025        32  tsc_elapsed_time_usec
   0.025        32  heap_attrinfo_end@plt
   0.025        32  logtb_is_interrupted_tdes
   0.025        32  lock_check_escalate
   0.025        32  log_append_undoredo_recdes@plt
   0.025        32  pgbuf_is_temp_lsa
   0.025        32  pgbuf_lru_add_bcb_to_middle
   0.025        32  heap_scan_pb_lock_and_fetch
   0.025        32  spage_verify_header
   0.025        31  prm_get_bool_value
   0.025        31  css_set_thread_info
   0.025        31  mvcc_is_mvcc_disabled_class@plt
   0.025        31  logtb_is_interrupted@plt
   0.025        31  er_clear@plt
   0.025        31  tp_domain_cache
   0.025        31  std::_Function_base::_Base_manager<css_send_reply_and_2_data_to_client(css_conn_entry*, unsigned int, char*, int, char*, int, char*, int, std::function<void ()>&&)::{lambda()#1}>::_M_manager
   0.025        31  mmon_is_memory_monitor_enabled
   0.025        31  log_zip_realloc_if_needed@plt
   0.025        31  lf_tran_end
   0.025        31  db_private_get_heapid_from_thread
   0.025        31  er_stack_push@plt
   0.025        31  pgbuf_bcb_update_flags
   0.024        30  slocator_find_lockhint_class_oids
   0.024        30  std::_Function_handler<void (), css_enqueue_and_notify(cubconn::connection::worker::queue_type, cubconn::connection::worker::message&&, int)::{lambda()#1}>::_M_invoke
   0.024        30  std::_Rb_tree_insert_and_rebalance
   0.024        30  logtb_get_check_interrupt
   0.024        30  db_make_int
   0.024        30  log_is_in_crash_recovery@plt
   0.024        30  slocator_find_class_oid
   0.024        30  vacuum_fetch_log_page
   0.023        29  pgbuf_adjust_quotas
   0.023        29  vacuum_consume_buffer_log_blocks
   0.023        29  pgbuf_unfix_all
   0.023        29  heap_clean_get_context@plt
   0.023        29  heap_classrepr_free@plt
   0.022        28  dwb_flush_next_block
   0.022        28  cubthread::worker_pool::core::worker::retire_current_task
   0.022        28  heap_get_class_name_alloc_if_diff@plt
   0.022        28  memmove@plt
   0.022        28  logtb_find_isolation@plt
   0.022        28  hl_lea_free
   0.022        28  db_make_null
   0.022        28  vacuum_compare_heap_object
   0.021        27  cubconn::connection::worker::get_time_ns@plt
   0.021        27  css_conn_entry::start_request
   0.021        27  mvcc_snapshot::mvcc_snapshot@plt
   0.021        27  spage_compact@plt
   0.021        27  logpb_get_memsize
   0.021        27  memset@plt
   0.021        27  or_unpack_oid
